"","GSM6205132","GSM6205136","GSM6205138","GSM6205140","GSM6205142","GSM6205144"
"memory_B_IGHMhi_ANXA4",8.47025122079961,8.46067656326435,8.4879890376639,8.49524495838996,8.55147315977264,8.50122483888739
"memory_B_IGHMhi_LGALS1",8.54344907890002,8.46067656326435,8.62239784582083,8.45050332351925,8.89000877723393,8.8176386902621
"memory_B_IGHMhi_SKAP1",8.49506545280075,8.51597659937403,8.53682259378566,8.46856682049068,8.55147315977264,8.58309400968416
"memory_B_IGHMhi_PPP1R14A",8.72222536131952,8.43221078887441,8.63945275623501,8.85930614356014,9.1556671133283,8.71968064770125
"memory_B_IGHMhi_RGS19",8.6903489114409,8.59514455218137,8.68283553146582,8.71544803687952,8.89000874306122,8.7196806684151
"memory_B_IGHMhi_LGALS9",8.60173239855174,8.62059701603956,8.63226957479139,8.65363240353223,8.69654927297659,8.58309400968416
"memory_B_IGHMhi_ARPC3",9.81244148750554,9.60559131111669,9.75403051200098,9.91062272446193,10.0586292931356,9.91801547450789
"memory_B_IGHMhi_LBR",8.62440205406634,8.6943662539281,8.62237422148695,8.66933639409928,8.49968076602749,8.53453205676941
"memory_B_IGHMhi_ACTG1",9.39786856729725,9.14384777829367,9.39149696044093,9.30861120178465,9.83133163882739,9.68573867471774
"memory_B_IGHMhi_CCL5",8.84312265993627,9.796349565521,9.62025381260717,8.48640694692834,8.82836045991056,9.89895972505678
"memory_B_IGHMlo_S100A6",8.78443852444337,9.8599543873193,9.71381897922176,9.11212330460982,9.40162368932153,9.48588449127925
"memory_B_IGHMlo_SMIM14",8.7675934656048,8.59247116234888,8.64346502764783,8.89757829397639,8.85462305733264,8.576270107744
"naive_B_L3MBTL4",8.76777680683986,8.76230817980793,8.75894756278593,8.77097301803276,8.74717279856809,8.76710262069105
"naive_B_SMIM14",9.08757048603725,8.99793175759572,9.0189218975347,9.09391614141295,9.08249492302228,9.02057216559529
"naive_B_S100A6",9.2863053360444,9.03579322864603,9.05424757294903,9.00973414739073,9.12898071075634,8.986976597589
"naive_B_RIC3",8.89497521617229,8.94585275108032,8.94274461971072,8.87712660850233,8.89795630570134,8.986976597589
"naive_B_PPP1R14A",9.02047284921688,8.80678430938068,8.89433807678131,8.94146201124925,9.09815717679801,8.9350692061398
"naive_B_IGF2BP3",8.74717279856809,8.76230817980794,8.75579301550747,8.77097301803276,8.74717279856809,8.74717279856809
"naive_B_STAG3",8.81803508641195,9.26560435693242,9.10708266055302,8.86243170281627,8.80557878444852,8.88122429823408
"pDC_MPDU1",8.30349479798767,8.10763866702627,8.14981410585372,8.10763866702627,8.10763866702627,8.37748278988984
"Plasma_Cell_CYB561A3",8.19103649785539,7.86046642814169,7.87721255266944,8.06712251223489,7.93779098823541,7.88733230963469
"Plasma_Cell_IL10RA",8.46186153471024,8.32375429549331,8.21581515100698,8.05405515329316,8.04560638412695,7.98702984990633
"Plasma_Cell_CDCA7L",8.06666082473054,7.86046642814169,7.84666016291569,7.85747650751719,7.82126283937863,7.82402975480979
"Plasma_Cell_TYROBP",8.35954823457673,8.88041477455331,8.68264346311131,8.10562909831653,7.97463200239418,8.86776980004499
"Plasma_Cell_HOPX",7.85734304833371,8.14307075667612,8.0666944527584,7.91642722181984,7.89998449521169,7.98702984990633
"Plasma_Cell_ELAVL1",7.93054236054054,7.93647429923505,7.97711788807573,8.05405515329316,8.01055560348778,8.11595657781577
"Plasma_Cell_SDHC",8.24942160177662,7.93647429923505,8.01897983688978,8.15542281776663,8.14592177935674,8.18476572135043
"Treg_GYPC",9.43257603916555,9.44428146101594,9.50552345615661,9.44962602669236,9.61168421200393,9.57593884112292
"Treg_RORA",8.82753946279668,8.95755281506922,8.91054775094382,8.96993818237881,8.84023034825698,8.84868678411684
"Treg_CD7",9.02774510630828,9.49117927864963,9.48557225108182,9.30920868213019,9.47812693984092,9.44496868571727
"Treg_HVCN1",8.71595182183009,8.59208730309682,8.64089878706645,8.74855404307016,8.72081882934862,8.74114200716881
"Treg_PLP2",8.99226199166718,8.96864279237177,8.95452938755592,8.8432608335091,8.93985308579782,8.88703530406271
